,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Totall,TO
1970-01-01 00:00:00.000016920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,46,11,0,0,0,0,0,92,0.0,0.0
1970-01-01 00:00:00.000016923,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,23,45,1,0,7,0,0.0,500300.0
1970-01-01 00:00:00.000016924,0,0,0,0,6,16,0,0,0,10,0,0,8,38,0,0,10,63,0,38,0,28,72,0,2,0,0,0,0,0,0,0.0,616.0
1970-01-01 00:00:00.000016925,0,0,0,1,1,84,0,10,0,0,6,0,0,11,52,2,21,1,0,0,0,1,25,12,5,0,3,10,14,0,0,0.0,1184.0
1970-01-01 00:00:00.000016926,0,59,101,61,21,18,0,0,0,5,5,16,1,122,33,25,0,0,0,11,28,4,5,2,11,2,0,0,0,5,7,0.0,59101612118.0
1970-01-01 00:00:00.000016927,0,0,1,0,13,22,1,4,26,71,22,25,68,1,1,7,19,8,6,2,10,6,12,6,30,0,0,0,0,0,0,0.0,101322.0
1970-01-01 00:00:00.000016928,30,1,0,0,0,12,0,67,18,11,14,1,0,20,0,0,0,0,0,128,64,1,8,7,61,2,4,35,30,0,0,0.0,30100012.0
1970-01-01 00:00:00.000016929,91,41,18,42,3,6,0,0,4,0,0,0,0,0,0,0,4,31,16,10,36,16,28,71,0,0,0,0,0,0,0,0.0,9141184236.0
1970-01-01 00:00:00.000016930,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000016931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
